"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044478/0/120/90/e6ae10f1b7bc7868ea82bb2793bda7eb/16/57ca6ba71e7eb39b40d7c01ac09b58cd/262044478.JPG","R2022851","S","2003 9280 SALISH COURT","VBNSH","$239,000","1/6/2016","10","1","1","755","1977","39","Y","1","$295.23","Apartment/Condo","PETN, RENN","1","5","Burnaby North","1","0"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044523/0/120/90/2baaf77ccab311b9234d3a47ff0a30ef/16/797d7772b9e4e0e044a281f02b83b009/262044523.JPG","R2022896","S","326 8751 GENERAL CURRIE ROAD","VRI61","$239,500","1/3/2016","21","1","1","788","1989","27","Y",,"$257.57","Apartment/Condo","PETR, RENR","1","4","Richmond","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044608/0/120/90/5141a1622e013646a6386005b8dd94eb/16/fdc05e23f7ff6f499c2a49c009e13a85/262044608.JPG","R2022981","S","32 11588 232 STREET","VMRCO","$239,500","1/3/2016","6","2","2","1,110","1992","24",,,"$181.06","Townhouse","PETR, RENN","1","8","Maple Ridge","2","0"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045529/0/120/90/74272ba27154f167a939ccd0d0c30596/16/33181c870a451e06dbb6b6f487e28caf/262045529.JPG","R2023902","S","1203 813 AGNES STREET","VNWDT","$239,800","1/4/2016","9","1","1","560","2006","10","Y","1","$212.22","Apartment/Condo","PETR","1","4","New Westminster","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047008/0/120/90/8734ec2d79fdc28dab8219096a0e1941/16/b145e35bf81a100a6306d88289e8f106/262047008.JPG","R2025381","S","214 2231 WELCHER AVENUE","VPQCE","$239,900","1/15/2016","4","2","1","935","1994","22","Y","1","$322.94","Apartment/Condo","PETR, RENN","1","8","Port Coquitlam","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044511/0/120/90/4430037110fc3375d2fce2830c7a0dde/16/d5846ebdf7aa2e7c673be72dcd6402e7/262044511.JPG","R2022884","S","424 9847 MANCHESTER DRIVE","VBNCA","$240,000","1/5/2016","5","2","1","860","1982","34","N","1","$280.84","Apartment/Condo","PETR, RENY","1","6","Burnaby North","1","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262048963/0/120/90/e1b024f221417260eb633167ccb845d7/16/262688cff8cf23a22b0dcdb413675191/262048963.JPG","R2027336","S","216 55 EIGHTH AVENUE","VNWGN","$240,000","1/21/2016","7","1","1","568","2013","3","Y","1","$188.00","Apartment/Condo","PETY, RENY","1","5","New Westminster","1","0"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046472/0/120/90/70907515ea2c3f7c6fed84c295976ec4/16/d08781d7d0bdea265c9069b284760773/262046472.JPG","R2024845","S","6 1447 VINE ROAD","VPEPE","$240,000","1/13/2016","3","2","1","781","2005","11",,"2","$141.00","Apartment/Condo","NO","1","5","Pemberton","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042001/0/120/90/a104ff6681ec28a53dbb71154423dd9e/16/2f739368f21d3d666bdc038f70f17f8b/262042001.JPG","R2020374","S","18 7416 FLINT STREET","VPEPE","$240,000","12/12/2015","37","3","1","1,050","1972","44","N","2","$165.00","Townhouse","PETR, RENY, SMKG","1","9","Pemberton","1","0"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043715/0/120/90/27212578379582df69c52a4ce97bfdd2/16/51f3f510bd53f20aec8e756014f7e522/262043715.JPG","R2022088","S","315 7471 BLUNDELL ROAD","VRI61","$240,000","1/3/2016","6","1","2","690","1984","32","Y","1","$240.00","Apartment/Condo","PETR, RENR","1","5","Richmond","1","1"
