"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161806/0/120/90/f9a3cb5e13951011b60e0fcf68ce6ae3/16/e82fafcb1f1974bf200131939526dda9/262161806.JPG","R2140179","S","518 9877 UNIVERSITY CRESCENT","VBNSF","$389,900","2/20/2017","0","1","1","635","2017","0",,"1","$264.24","Apartment/Condo","PETY, RENY","1","4","Burnaby North","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160088/0/120/90/ddd67716bee7c9300a3c2ad2fe50604d/16/c8362a9be2dda88e69d02162ced6d9ba/262160088.JPG","R2138461","S","PH1 1163 THE HIGH STREET","VCQNC","$390,000","2/13/2017","8","2","2","873","1996","21","Y","1","$307.94","Apartment/Condo","PETR, RENN","1","7","Coquitlam","2","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107696/0/120/90/7445331c690a0283f01b8346b0ef4bdc/16/7e9576c05239786b0f82e8ec94e00b43/262107696.JPG","R2086069","S","609 9080 UNIVERSITY CRESCENT","VBNSF","$390,000","6/27/2016","224","1","1","634","2015","2","Y","1","$235.00","Apartment/Condo","PETY, RENY","1","3","Burnaby North","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262157169/0/120/90/275015acbaae9c0efb121c48bb06fc3a/16/46c225901cd4c81d12e5b11a2774065f/262157169.JPG","R2135542","S","1401 3438 VANNESS AVENUE","VVECO","$390,000","1/27/2017","11","1","1","507","1999","18","Y","1","$276.67","Apartment/Condo","PETY, RENY","1","6","Vancouver East","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160533/0/120/90/f67ce25628fa8f9dd4d9dd3960c03df9/16/cecdeb8af7cd395cee5a65f13f747353/262160533.JPG","R2138906","S","212 121 BREW STREET","VPMPM","$390,000","2/10/2017","17","1","1","675","2008","9","Y","1","$294.68","Apartment/Condo","PETR, RENY","0","3","Port Moody","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146079/0/120/90/0b280e61079be1fe31f105d07b93e9f7/16/e6de76ff35616c0de452f13773a7f5d7/262146079.JPG","R2124452","S","1112 6611 MINORU BOULEVARD","VRI60","$390,800","11/21/2016","98","2","1","1,125","1974","43",,"1","$448.53","Apartment/Condo","PETN, RENN","1","5","Richmond","1","0"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161891/0/120/90/97b0e041ebb663230a008474ea0e3b12/16/dce8a34ad2c54c1bac49b9fe7ffe08c8/262161891.JPG","R2140264","S","261 4314 MAIN STREET","VWHVI","$392,000","2/19/2017","3","0","1","408","1997","20",,"1","$411.57","Apartment/Condo","PETR, RENY","0","1","Whistler","1","0"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159684/0/120/90/b7edaddafa1340f83c6d178dd44d577e/16/b45e4b3939ae23b12cb7fefdf5154442/262159684.JPG","R2138057","S","4904 47A AVENUE","VLDLE","$392,000","2/10/2017","6","2","1","1,071","1977","40",,"1","$277.70","Townhouse","PETR, RENN","1","6","Ladner","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155664/0/120/90/1486875a417377a336f157785b961305/16/60695f68dfff1b8f64f49496baa3132f/262155664.JPG","R2134037","S","2001 511 ROCHESTER AVENUE","VCQCW","$392,000","1/22/2017","33","1","1","676","2007","10","Y","1","$217.75","Apartment/Condo","PETR, RENY","1","4","Coquitlam","1","0"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262158963/0/120/90/45b745329ee618779b8e2f1ad27fea2c/16/d617f271178bd7db90eb6b5a92ebd0c5/262158963.JPG","R2137336","S","405 335 CARNARVON STREET","VNWDT","$392,500","2/6/2017","10","2","2","786","1997","20","Y","2","$338.35","Apartment/Condo","PETY, RENY","1","8","New Westminster","2","0"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155828/0/120/90/30c88e7e0b051dafefe0685b0691ad59/16/86611a5ed90bf2677cffabe48f1397eb/262155828.JPG","R2134201","S","201 10177 RIVER DRIVE","VRI11","$392,900","1/23/2017","33","1","1","775","2018","0","N","1","$310.00","Apartment/Condo","NO","1","4","Richmond","1","0"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155352/0/120/90/a8582593dedd0b6d624631fe72f175ad/16/68e76ae6c83e3d3271f6ef4db5fe820f/262155352.JPG","R2133725","S","311 8600 GENERAL CURRIE ROAD","VRI61","$393,000","1/23/2017","20","2","2","900","1990","27","Y","1","$390.96","Apartment/Condo","AGER, PETY, RENN","1","6","Richmond","2","0"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160897/0/120/90/329e9c0ba0db926e40ed5c2da29260a5/16/fc1e05e8428414ff759be6ef3243a8a9/262160897.JPG","R2139270","S","702 4888 HAZEL STREET","VBSFG","$393,000","2/16/2017","4","1","1","599","1997","20","Y","1","$207.24","Apartment/Condo","PETR, RENR","1","6","Burnaby South","1","0"
